025CARTRIDGE,5.56 MILLIMETER1305-AA01Armor Piercing, M995, 200 RD belts w/M27 links, f/M249 SAW MG|A1305AA01
025CARTRIDGE,5.56 MILLIMETER1305-AA02Armor Piercing, M995, w/Tracer, M856, w/M27 links, 4:1 ratio, f/M249 SAW MG|A1305AA02
025CARTRIDGE,7.62 MILLIMETER1305-AA03Armor Piercing, M993, single round|A1305AA03
025CARTRIDGE,7.62 MILLIMETER1305-AA04AMMO AA04 CANCELLED ON 100413 Armor Piercing, M993, w/Tracer, M62, linked, 4:1 ratio                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |C1305AA04
021CARTRIDGE,CALIBER .501305-AA05Linked W/M9 links, (1) MK211 MOD 0 API, (1) AP M2, and (1) API-T M20 cartridge, F/M2 or M85 machine gun.|A1305AA05
021CARTRIDGE,CALIBER .501305-AA06Linked W/M9 links, (1) API MK211 MOD 0, (1) AP M2, (1) API MK211 MOD 0, (1) AP M2, and (1) API-T M20 cartridge, F/M2 or M85 machine gun.|A1305AA06
021CARTRIDGE,CALIBER .501305-AA07Linked W/M9 links, (1) API MK 211 MOD 0, (1) AP M2 and (1) M20 API-DIM trace cartridge, F/M2 or M85 machine gun.|A1305AA07
025CARTRIDGE,5.56 MILLIMETER1305-AA08Ball, M855 and Dim Tracer, XM996/M996, M27 Link (4:1), f/Ammo SAW Magazine, M249 M.G.|A1305AA08
025CARTRIDGE,5.56 MILLIMETER1305-AA09Dim Tracer, XM996/M996|A1305AA09
023CARTRIDGE,25 MILLIMETER1305-AA1025MM, TPF-T, PGU-33/U: For Automatic Cannon, GAU-12.|A1305AA10
025CARTRIDGE,7.62 MILLIMETER1305-AA11NATO, Special Ball, M118, Long Range|A1305AA11
022CARTRIDGE,9 MILLIMETER1305-AA12CARTRIDGE, 9mm FX MARKING.|A1305AA12
025CARTRIDGE,12 GAGE SHOTGUN1305-AA13AMMO AA13 CANCELLED/REPLACED BY AMMO A024 INC 17177, ON 042401 DOOR BREACHING MARK 246 MOD 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |C1305AA13
021CARTRIDGE,CALIBER .451305-AA14JACKETED HOLLOW POINT. MK 247 MOD 0.|A1305AA14
021CARTRIDGE,CALIBER .451305-AA15FRANGIBLE, PKG'D 1,000 TO A METAL M2A1 CNTR, PKG'D 2,000 TO A WIREBOUND BOX.|A1305AA15
022CARTRIDGE,9 MILLIMETER1305-AA16Frangible, MK254/0, Pkg'd 1,000 rds/M2A1 Ammo Can, 2 M2A1 Ammo Cans(2,000 rds total) per Wirebound Box.|A1305AA16
025CARTRIDGE,5.56 MILLIMETER1305-AA17FRANGIBLE PKG'D 820 TO A METAL M2A1 CNTR, PKG'D 1,640 TO A WIREBOUND BOX.|A1305AA17
021CARTRIDGE,CALIBER .451305-AA18+P,FULL METAL JACKET|A1305AA18
029CARTRIDGE,CALIBER .357 MAGNUM1305-AA19FULL METAL JACKET|A1305AA19
029DUMMY CARTRIDGE,20 MILLIMETER1305-AA20M51A4N, WITH MK7 MOD 1 LINK|A1305AA20
022CARTRIDGE,9 MILLIMETER1305-AA21CARTRIDGE, 9mm FX MARKING BLUE|A1305AA21
023CARTRIDGE,20 MILLIMETER1305-AA22SAPHEI, PGU-28A/B, Pkgd 250 RDS/M548(Bulk Pack) Container for Automatic Cannon M61A1, M61A2, M197 and XM301|A1305AA22
023CARTRIDGE,20 MILLIMETER1305-AA23SAPHEI, PGU-28A/B, Pkgd 100 RDS/M548(Link Pack) Container for Automatic Cannon M61A1, M61A2, M197 and XM301|A1305AA23
032CARTRIDGE,20 MILLIMETER,PRACTICE1305-AA24Target Practice, PGU-27A/B, Pkgd 250 RDS/M548(Bulk Pack) Container for Automatic Cannon M61A1, M61A2, M197 and XM301|A1305AA24
032CARTRIDGE,20 MILLIMETER,PRACTICE1305-AA25Target Practice, PGU-27A/B, Pkgd 100 RDS/M548(Link Pack) Container for Automatic Cannon M61A1, M61A2, M197 and XM301|A1305AA25
032CARTRIDGE,20 MILLIMETER,PRACTICE1305-AA264 SAPHEI, PGU-28A/B, and 1 Target Practice-Tracer, PGU-30A/B, Pkgd 100 RDS/M548 (Link Pack) Container for Automatic Cannon M61A1, M61A2, M197 and XM301|A1305AA26
032CARTRIDGE,20 MILLIMETER,PRACTICE1305-AA274 Target Practice, PGU-27A/B and 1 Target Practice-Tracer, PGU-30A/B, Pkgd 100 RDS/M548 (Link Pack) Container for Automatic Cannon M61A1, M61A2, M197 and XM301|A1305AA27
032CARTRIDGE,20 MILLIMETER,PRACTICE1305-AA28Target Practice-Tracer, PGU-30A/B, Pkgd 250 RDS/M548 (Bulk Pack) Container for Automatic Cannon M61A1, M61A2, M197 and XM301|A1305AA28
025CARTRIDGE,12 GAGE SHOTGUN1305-AA29CARTRIDGE,12 GA. BEAN BAG MK1 MOD 0. NON-LETHAL.|A1305AA29
025CARTRIDGE,12 GAGE SHOTGUN1305-AA30CARTRIDGE,12 GA. GRENADE LAUNCHING,MK1 MOD 0. NON-LETHAL.|A1305AA30
025CARTRIDGE,12 GAGE SHOTGUN1305-AA31CARTRIDGE,12 GA. RUBBER,FIN STABILIZED MK1 MOD 0.NON-LETHAL.|A1305AA31
022CARTRIDGE,6 MILLIMETER1305-AA326 MM CRIMPED BLANK F/PISTOL|A1305AA32
025CARTRIDGE,5.56 MILLIMETER1305-AA33Ball,M855,in 10 RD Clips,Cartons,Fiberboard Box for range fire training|A1305AA33
025CARTRIDGE,7.62 MILLIMETER1305-AA34AMMO AA34 CANCELLED ON 100413 ARMOR PIERCING M993 AND M276 DIM TRACER. LINKED 9 TO 1 RATIO RESPECTIVELY.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |C1305AA34
025CARTRIDGE,7.62 MILLIMETER1305-AA35AMMO AA35 CANCELLED ON 100413 ARMOR PIERCING M993 AND M276 DIM TRACER. LINKED 4 TO 1 RATIO RESPECTIVELY.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |C1305AA35
025CARTRIDGE,7.62 MILLIMETER1305-AA36AMMO AA36 CANCELLED ON 100413 ARMOR PIERCING M993 AND M62 TRACER. LINKED 9 TO 1 RATIO RESPECTIVELY.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |C1305AA36
025CARTRIDGE,7.62 MILLIMETER1305-AA37Short Range Training Ammunition-Tracer (SRTA-T), XM974|A1305AA37
021CARTRIDGE,CALIBER .501305-AA38Bulk, SLAP tracer,M962; Packed 120 crtgs/container,M2A1; 2 containers M2A1/Box,wirebound (Total 240 crtgs/box,wirebound).|A1305AA38
025CARTRIDGE,7.62 MILLIMETER1305-AA39Short Range Training Ammunition (SRTA), M973 Ball and (SRTA-T) M974 Tracer Linked 4:1 (4-M973/1-M974) in M19A1 Configuration|A1305AA39
025CARTRIDGE,5.56 MILLIMETER1305-AA40cartridge, 5.56 millimeter; jacketed; frangible, mk311 mods                 CAGE 1MR34  P/N WI1151|A1305AA40
021CARTRIDGE,CALIBER .501305-AA41armor-piercing. p/n 7379631 and associate with P/N 7379631-2|A1305AA41
021CARTRIDGE,CALIBER .501305-AA42armor-piercing. p/n 7350899 and associate with P/N 7350899-2|A1305AA42
025CARTRIDGE,5.56 MILLIMETER1305-AA44M855 w/lead free slugs, link, M27, 200 round M249 Magazine Bandoleers, Container PA108, Box, Wirebound, 1600 cartridges|A1305AA44
025CARTRIDGE,5.56 MILLIMETER1305-AA45M855 w/lead free slugs, in 10 round clips, cartons, container, M2A1, box, wirebound, 1680 cartridges|A1305AA45
025CARTRIDGE,5.56 MILLIMETER1305-AA46M855 w/lead free slugs, carton, container, M2A1, box, wirebound, 1640 cartridges|A1305AA46
025CARTRIDGE,5.56 MILLIMETER1305-AA47M855 w/lead free slugs, link, M27, 200 round, M249 Magazine, bandoleer, container, M2A1, box, wirebound, 800 cartridges|A1305AA47
025CARTRIDGE,5.56 MILLIMETER1305-AA48M855 w/lead free slugs, in 10 round clips, carton, fiberboard box (for range fire), 1800 cartridges|A1305AA48
022CARTRIDGE,9 MILLIMETER1305-AA49Ball, NATO, XM882/M882, Fiberboard Box for range fire training|A1305AA49
021CARTRIDGE,CALIBER .501305-AA50Linked w/M9 links, 1 MK211 MOD 1/ 1 MK263 MOD 0/ 1 MK211 MOD 1/ 1 MK263 MOD 0/ 1 MK257 MOD 0; 100 RD Belt|A1305AA50
036CARTRIDGE,12 GAGE SHOTGUN,NON-LETHAL1305-AA51Point Control, XM1012, for use with Mossberg 590 & Winchester 1200.|A1305AA51
036CARTRIDGE,12 GAGE SHOTGUN,NON-LETHAL1305-AA5212 Gage Shotgun #23HV, XM1013, Crowd Dispersal, Rubber Pellet High Velocity Round, inert projectile, used in Mossberg 590 & Winchester 1200.|A1305AA52
025CARTRIDGE,5.56 MILLIMETER1305-AA53Special Match, MK262 Mod 0 or Mod 1.|A1305AA53
025CARTRIDGE,12 GAGE SHOTGUN1305-AA54Breaching (for breaching inside doors, not anti-personnel, peacekeeping munition), XM1030; End Item: SHOTGUN, 12 GAGE, RIOT TYPE (21849)|A1305AA54
031DUMMY CARTRIDGE,12 GAGE SHOTGUN1305-AA55MK 242 Mod 0, Inert, used for training.|A1305AA55
021CARTRIDGE,CALIBER .501305-AA56P/N 12993737; Ball, M33 Lead Free Projectile and Tracer, M17; Linked w/M9 Link; 4 to 1 Functional Ratio; 100 RD Belt|A1305AA56
021CARTRIDGE,CALIBER .501305-AA57P/N 12993736; Ball, M33 Lead Free Projectile; Linked w/M9 Link; 100 RD Belt|A1305AA57
021CARTRIDGE,CALIBER .501305-AA58AP, MK263-0. P/N SMA-SK2040 and associate with P/N 7402416-2|A1305AA58
021CARTRIDGE,CALIBER .221305-AA59AMMO AA59 CANCELLED ON 091306 Ball, Long Rifle, Match Grade, Lead Free, f/Pistol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |C1305AA59
025CARTRIDGE,12 GAGE SHOTGUN1305-AA60#00 Buckshot; 3"|A1305AA60
023CARTRIDGE,20 MILLIMETER1305-AA61Linked, MK244 mod 0 Armor Piercing|A1305AA61
032CARTRIDGE,30 MILLIMETER,PRACTICE1305-AA65CARTRIDGE, 30 MILLIMETER X 173, Linked, 1 Target Practice Tracer (TP-T), 1 Target Practice (TP), in 15 Round Belt with Boeing BMII Link for MK44 Gun.|A1305AA65
025CARTRIDGE,5.56 MILLIMETER1305-AA67CTG. 5.56 MM Special match, Molybdeum coated. Packaged 50 rounds per plastic tray.|A1305AA67
